id,building_id,name,use,suburb_locality,town_city,territorial_authority,capture_method,capture_source_group,capture_source_id,capture_source_name,capture_source_from,capture_source_to,last_modified
layer-101290.2517480,2517480,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2518639,2518639,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2518665,2518665,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2518925,2518925,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520149,2520149,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520315,2520315,,Unknown,Taylorville,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520361,2520361,,Unknown,Taylorville,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520816,2520816,,Unknown,Dunollie,Runanga,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520878,2520878,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2520879,2520879,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2521172,2521172,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2521528,2521528,,Unknown,Kaiata,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2521661,2521661,,Unknown,Kaiata,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2522201,2522201,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2522473,2522473,,Unknown,Runanga,Runanga,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2522652,2522652,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2522975,2522975,,Unknown,Paroa,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2523172,2523172,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2523254,2523254,,Unknown,Greymouth,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
